Day,nAbs,Vaccine,Moderna,Infection,Ref
0,1,Pfizer,0,0,Falsey
0,1,Pfizer,0,0,Levin
19.2,0.726,Pfizer,0,0,Levin
24,0.689,Pfizer,0,0,Levin
47.9,0.371,Pfizer,0,0,Levin
74.9,0.206,Pfizer,0,0,Levin
103.9,0.201,Pfizer,0,0,Levin
131.8,0.167,Pfizer,0,0,Levin
158,0.165,Pfizer,0,0,Levin
236,0.139,Pfizer,0,0,Falsey
0,1,Moderna,1,0,Chu
0,1,Moderna,1,0,Doria_rose
76,0.544,Moderna,1,0,Doria_rose
166,0.236,Moderna,1,0,Doria_rose
181,0.118454259,Moderna,1,0,Chu
0,1,Infection,0,1,Havervall
122,0.432432432,Infection,0,1,Havervall
244,0.297297297,Infection,0,1,Havervall
365,0.324324324,Infection,0,1,Havervall
